"name","birth","death","won_award","country","age","field","profession"
"François Viète",1540,"1603",0,"FRA",63,"Computer Science","Cryptographer"
"Johann Christian Martin Bartels",1760,"1836",0,"AUS",76,"Analysis","Teacher"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Researcher"
"Mark Krein",1900,"1989",1,"RUS",89,"Analysis","Teacher"
"Valentin Turchin",1930,"2010",0,"BLR",80,"Computer Science","Activist"
"Pierre Samuel",1920,"2009",0,"CAN",89,"None","Scientist"
"Boris Galerkin",1870,"1945",1,"BLR",75,"Physics","Engineer"
"Bartel Leendert van der Waerden",1900,"1996",1,"COL",96,"Combinatorics","Teacher"
"Gilbert Hunt",1910,"2008",0,"ARG",98,"Statistics","Researcher"
"James Joseph Sylvester",1810,"1897",1,"BLZ",87,"Combinatorics","Lawyer"
"Lev Gutenmaher",1900,"1981",1,"UKR",81,"Computer Science","Computer Scientist"
"Mikhail Lavrentyev",1900,"1980",1,"AFG",80,"Physics","Physicist"
"Jacob Bernoulli",1650,"1705",0,"BEL",55,"Combinatorics","Physicist"
"György Hajós",1910,"1972",1,"HUN",62,"Geometry","Teacher"
"Alexey Lyapunov",1910,"1973",1,"RUS",63,"Combinatorics","Computer Scientist"
"Israel Gelfand",1910,"2009",1,"UKR",99,"Analysis","Biologist"
"Anders Johan Lexell",1740,"1784",0,"FIN",44,"Geometry","Researcher"
"Thomas Kirkman",1800,"1895",1,"AUS",95,"Geometry","Researcher"
"Cyparissos Stephanos",1850,"1917",0,"GBR",67,"Geometry","Teacher"
"Maurice René Fréchet",1870,"1973",1,"FRA",103,"Analysis","Linguist"
"W. T. Tutte",1910,"2002",1,"AUS",92,"Combinatorics","Teacher"
"Andrey Nikolayevich Tikhonov",1900,"1993",1,"ARM",93,"Analysis","Researcher"
"Hellmuth Kneser",1890,"1973",0,"EST",83,"Topology","Researcher"
"Edward Charles Titchmarsh",1890,"1963",1,"AUS",73,"Combinatorics","Teacher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Geologist"
"Arthur Cayley",1820,"1895",1,"CAN",75,"Algebra","Lawyer"
"Karl Weierstrass",1810,"1897",1,"DEU",87,"Analysis","Teacher"
"Marvin Knopp",1930,"2011",0,"BLZ",81,"Combinatorics","Teacher"
"Mkhitar Djrbashian",1910,"1994",1,"ARM",84,"Analysis","Writer"
"Grigorii Fichtenholz",1880,"1959",1,"UKR",79,"Analysis","Teacher"
"Douglas Hartree",1890,"1958",1,"AUS",68,"Analysis","Physicist"
"Walter Rudin",1920,"2010",0,"AUT",90,"Analysis","Teacher"
"Luis Santaló",1910,"2001",1,"ESP",91,"Geometry","Teacher"
"Mikhail Postnikov",1920,"2004",1,"RUS",84,"Analysis","Researcher"
"Ralph Faudree",1930,"2015",1,"BRB",85,"Combinatorics","Teacher"
"Johann Friedrich Hennert",1730,"1813",0,"COL",83,"Combinatorics","Astronomer"
"Igor Shafarevich",1920,"2017",1,"UKR",97,"Combinatorics","Activist"
"Gaetano Fichera",1920,"1996",1,"ITA",76,"Analysis","Historian"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Philosopher"
"Pavel Urysohn",1890,"1924",0,"UKR",34,"Analysis","Researcher"
"Errett Bishop",1920,"1983",0,"ARG",63,"Analysis","Teacher"
"Max August Zorn",1900,"1993",0,"DEU",93,"Combinatorics","Teacher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Linguist"
"Jacques-Louis Lions",1920,"2001",1,"AUT",81,"Analysis","Teacher"
"Sergei Natanovich Bernstein",1880,"1968",1,"UKR",88,"Analysis","Teacher"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"Physics","Physicist"
"Irving Kaplansky",1910,"2006",1,"AUS",96,"Algebra","Teacher"
"Mauro Picone",1880,"1977",0,"ARG",97,"Analysis","Teacher"
"Israel Gohberg",1920,"2009",0,"UKR",89,"Analysis","Teacher"
"Gaspard-Gustave Coriolis",1790,"1843",0,"CAN",53,"Physics","Physicist"
"Jean Leray",1900,"1998",1,"BRA",98,"Analysis","Researcher"
"Norbert Wiener",1890,"1964",1,"BOL",74,"Computer Science","Researcher"
"Rodion Kuzmin",1890,"1949",0,"BLR",59,"Combinatorics","Teacher"
"Sergey Yablonsky",1920,"1998",1,"RUS",78,"Computer Science","Computer Scientist"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Philosopher"
"Daniel Bernoulli",1700,"1782",1,"NLD",82,"Probability","Physicist"
"Alonzo Church",1900,"1995",0,"ARG",95,"Computer Science","Philosopher"
"Isabella Bashmakova",1920,"2005",0,"RUS",85,"Applied Mathematics","Historian"
"Oliver Heaviside",1850,"1925",1,"BLZ",75,"Algebra","Physicist"
"Abram Ilyich Fet",1920,"2007",0,"UKR",87,"Topology","Researcher"
"Gheorghe Vrânceanu",1900,"1979",0,"BIH",79,"Topology","Researcher"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"Physics","Physicist"
"Paul Halmos",1910,"2006",1,"HUN",96,"Analysis","Philosopher"
"Solomon W. Golomb",1930,"2016",1,"COL",86,"Combinatorics","Teacher"
"Yehoshua Bar-Hillel",1910,"1975",0,"AUT",65,"Applied Mathematics","Philosopher"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"General","Historian"
"Felix Berezin",1930,"1980",0,"RUS",50,"Analysis","Inventor"
"Ernest Michael",1920,"2013",1,"CHE",93,"Topology","Teacher"
"Yuri Linnik",1910,"1972",1,"UKR",62,"Statistics","Teacher"
"Moritz Cantor",1820,"1920",0,"DEU",100,"General","Historian"
"Arthur Geoffrey Walker",1900,"2001",1,"CAN",101,"Physics","Teacher"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"Physics","Mechanic"
"Edward Norton Lorenz",1910,"2008",1,"USA",98,"Physics","Teacher"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"Physics","Physicist"
"Marcel Brillouin",1850,"1948",1,"BEL",98,"General","Teacher"
"Klaus Wagner",1910,"2000",0,"BRA",90,"Topology","Teacher"
"Greg Hjorth",1960,"2011",1,"AUS",51,"Combinatorics","Teacher"
"Nicolaas Govert de Bruijn",1910,"2012",0,"NLD",102,"Combinatorics","Computer Scientist"
"Andrey Markov, Jr.",1900,"1979",1,"RUS",79,"Topology","Teacher"
"Élie Cartan",1860,"1951",1,"FRA",91,"Physics","Physicist"
"Leonid Kantorovich",1910,"1986",1,"RUS",76,"Computer Science","Teacher"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Writer"
"Leonard Gillman",1910,"2009",1,"AUS",99,"Topology","Musician"
"Ernst Kolman",1890,"1979",0,"CZE",89,"Physics","Teacher"
"Ernst Zermelo",1870,"1953",1,"COL",83,"Combinatorics","Teacher"
"Benjamin Peirce",1800,"1880",0,"DEU",80,"Combinatorics","Statician"
"Francesco Maria Grimaldi",1610,"1663",0,"ITA",53,"Physics","Astronomer"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Probability","Physicist"
"John R. Stallings",1930,"2008",1,"USA",78,"Topology","Teacher"
"Nikolai Smirnov (mathematician)",1900,"1966",1,"RUS",66,"Statistics","Teacher"
"Oskar Anderson",1880,"1960",0,"BLR",80,"Statistics","Statician"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"None","Astronomer"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Writer"
"Carl Adam Petri",1920,"2010",1,"DEU",90,"Computer Science","Engineer"
"Edwin E. Moise",1910,"1998",1,"BRB",88,"Topology","Teacher"
"Max Dehn",1870,"1952",0,"DEU",82,"Topology","Researcher"
"John Forbes Nash Jr.",1920,"2015",1,"USA",95,"Number Theory","Teacher"
"Waclaw Sierpinski",1880,"1969",1,"JAM",89,"Topology","Teacher"
"Siméon Denis Poisson",1780,"1840",1,"FRA",60,"Probability","Physicist"
"Leonid Khachiyan",1950,"2005",1,"RUS",55,"Combinatorics","Teacher"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Computer Science","Politician"
"Henry Mann",1900,"2000",1,"AUT",100,"Combinatorics","Economist"
"Augustin-Louis Cauchy",1770,"1857",1,"CAN",87,"Geometry","Physicist"
"Paul Émile Appell",1850,"1930",1,"BEL",80,"Geometry","Scientist"
"John William Theodore Youngs",1910,"1970",1,"BGD",60,"Topology","Teacher"
"Andrey Markov",1850,"1922",1,"RUS",72,"Analysis","Teacher"
"Ronald Fisher",1890,"1962",1,"BLZ",72,"Applied Mathematics","Statician"
"George Pólya",1880,"1985",0,"HUN",105,"Combinatorics","Teacher"
"Richard Dedekind",1830,"1916",0,"AUS",86,"Combinatorics","Teacher"
"Vasili Yakovlevich Zinger",1830,"1907",0,"RUS",77,"Applied Mathematics","Researcher"
"Samuel Karlin",1920,"2007",1,"USA",87,"Probability","Biologist"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Physicist"
"Vladimir Arnold",1930,"2010",1,"UKR",80,"Topology","Teacher"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Researcher"
"Hermann Minkowski",1860,"1909",1,"LTU",49,"Combinatorics","Teacher"
"Nikolay Mitrofanovich Krylov",1870,"1955",1,"RUS",85,"Analysis","Teacher"
"Nikoloz Muskhelishvili",1890,"1976",1,"GEO",86,"Analysis","Teacher"
"François Arago",1780,"1853",1,"FRA",73,"Physics","Physicist"
"James Hopwood Jeans",1870,"1946",1,"GBR",76,"Physics","Astronomer"
"Paul Gustav Heinrich Bachmann",1830,"1920",0,"COL",90,"Combinatorics","Teacher"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"Physics","Astronomer"
"Leonard Eugene Dickson",1870,"1954",1,"PNG",84,"Combinatorics","Teacher"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"General","Engineer"
"Kiiti Morita",1910,"1995",0,"JPN",85,"Topology","Teacher"
"Joseph Bertrand",1820,"1900",1,"CAN",80,"Geometry","Teacher"
"André Weil",1900,"1998",1,"CAN",98,"Combinatorics","Teacher"
"Vito Volterra",1860,"1940",1,"AUS",80,"Analysis","Teacher"
"Friedrich Bessel",1780,"1846",1,"AUS",66,"Physics","Teacher"
"Johannes Fallati",1800,"1855",0,"DEU",55,"Applied Mathematics","Teacher"
"Charles Babbage",1790,"1871",1,"BLZ",81,"Applied Mathematics","Engineer"
"Anatoli Georgievich Vitushkin",1930,"2004",1,"RUS",74,"Analysis","Teacher"
"Paul Stäckel",1860,"1919",0,"COL",59,"Combinatorics","Teacher"
"Mstislav Keldysh",1910,"1978",1,"AFG",68,"Physics","Teacher"
"Lazarus Fuchs",1830,"1902",1,"ITA",72,"Geometry","Teacher"
"Marian Rejewski",1900,"1980",1,"POL",80,"Computer Science","Cryptographer"
"Emmy Noether",1880,"1935",1,"DEU",55,"Algebra","Teacher"
"Raoul Bott",1920,"2005",1,"HUN",85,"Topology","Researcher"
"Hans Hahn (mathematician)",1870,"1934",1,"AUT",64,"Topology","Researcher"
"L. E. J. Brouwer",1880,"1966",1,"NLD",86,"Logic","Researcher"
"Antoine Augustin Cournot",1800,"1877",0,"AUT",77,"General","Philosopher"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Combinatorics","Musician"
"Corrado Gini",1880,"1965",0,"ITA",85,"Statistics","Psychologist"
"Peter Gavin Hall",1950,"2016",1,"AUS",66,"Statistics","Teacher"
"Sophie Germain",1770,"1831",1,"CAN",61,"Physics","Philosopher"
"Gilles de Roberval",1600,"1675",0,"FRA",75,"Physics","Teacher"
"Hermann Weyl",1880,"1955",1,"DEU",75,"Combinatorics","Philosopher"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"Physics","Physicist"
"Aleksei Pogorelov",1910,"2002",1,"RUS",92,"Analysis","Teacher"
"Vladimir Abramovich Rokhlin",1910,"1984",0,"AZE",74,"Topology","Teacher"
"Andrey Kolmogorov",1900,"1987",1,"RUS",87,"Topology","Statician"
"Oswald Veblen",1880,"1960",0,"PNG",80,"Topology","Teacher"
"Sergey Chaplygin",1860,"1942",1,"RUS",82,"Analysis","Engineer"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Chemist"
"Philipp von Jolly",1800,"1884",0,"DEU",84,"General","Teacher"
"James Earl Baumgartner",1940,"2011",0,"USA",71,"Combinatorics","Teacher"
"Øystein Ore",1890,"1968",1,"DNK",78,"Algebra","Teacher"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Researcher"
"G. H. Hardy",1870,"1947",1,"GBR",77,"Combinatorics","Teacher"
"Joseph-Louis Lagrange",1730,"1813",1,"BLR",83,"Combinatorics","Physicist"
"François Viète",1540,"1603",0,"FRA",63,"Computer Science","Lawyer"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Teacher"
"Valentin Turchin",1930,"2010",0,"BLR",80,"Computer Science","Computer Scientist"
"Bartel Leendert van der Waerden",1900,"1996",1,"COL",96,"Combinatorics","Historian"
"James Joseph Sylvester",1810,"1897",1,"BLZ",87,"Combinatorics","Teacher"
"Mikhail Lavrentyev",1900,"1980",1,"AFG",80,"Physics","Teacher"
"Jacob Bernoulli",1650,"1705",0,"BEL",55,"Combinatorics","Doctor"
"Israel Gelfand",1910,"2009",1,"UKR",99,"Analysis","Teacher"
"Anders Johan Lexell",1740,"1784",0,"FIN",44,"Geometry","Physicist"
"Maurice René Fréchet",1870,"1973",1,"FRA",103,"Analysis","Statician"
"Hellmuth Kneser",1890,"1973",0,"EST",83,"Topology","Teacher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Biologist"
"Arthur Cayley",1820,"1895",1,"CAN",75,"Algebra","Teacher"
"Douglas Hartree",1890,"1958",1,"AUS",68,"Analysis","Teacher"
"Luis Santaló",1910,"2001",1,"ESP",91,"Geometry","Writer"
"Mikhail Postnikov",1920,"2004",1,"RUS",84,"Analysis","Teacher"
"Johann Friedrich Hennert",1730,"1813",0,"COL",83,"Combinatorics","Teacher"
"Igor Shafarevich",1920,"2017",1,"UKR",97,"Combinatorics","Teacher"
"Gaetano Fichera",1920,"1996",1,"ITA",76,"Analysis","Teacher"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Philosopher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Writer"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"Physics","Scientist"
"Gaspard-Gustave Coriolis",1790,"1843",0,"CAN",53,"Physics","Engineer"
"Jean Leray",1900,"1998",1,"BRA",98,"Analysis","Teacher"
"Norbert Wiener",1890,"1964",1,"BOL",74,"Computer Science","Writer"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Astronomer"
"Daniel Bernoulli",1700,"1782",1,"NLD",82,"Probability","Teacher"
"Alonzo Church",1900,"1995",0,"ARG",95,"Computer Science","Teacher"
"Isabella Bashmakova",1920,"2005",0,"RUS",85,"Applied Mathematics","Teacher"
"Oliver Heaviside",1850,"1925",1,"BLZ",75,"Algebra","Engineer"
"Gheorghe Vrânceanu",1900,"1979",0,"BIH",79,"Topology","Teacher"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"Physics","Astronomer"
"Paul Halmos",1910,"2006",1,"HUN",96,"Analysis","Statician"
"Yehoshua Bar-Hillel",1910,"1975",0,"AUT",65,"Applied Mathematics","Teacher"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"General","Physicist"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"Physics","Physicist"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"Physics","Teacher"
"Leonid Kantorovich",1910,"1986",1,"RUS",76,"Computer Science","Scientist"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Teacher"
"Ernst Kolman",1890,"1979",0,"CZE",89,"Physics","Researcher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Probability","Politician"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"None","Writer"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Researcher"
"Carl Adam Petri",1920,"2010",1,"DEU",90,"Computer Science","Teacher"
"Max Dehn",1870,"1952",0,"DEU",82,"Topology","Teacher"
"Siméon Denis Poisson",1780,"1840",1,"FRA",60,"Probability","Teacher"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Computer Science","Psychologist"
"Augustin-Louis Cauchy",1770,"1857",1,"CAN",87,"Geometry","Teacher"
"Vasili Yakovlevich Zinger",1830,"1907",0,"RUS",77,"Applied Mathematics","Teacher"
"Samuel Karlin",1920,"2007",1,"USA",87,"Probability","Teacher"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Musician"
"Vladimir Arnold",1930,"2010",1,"UKR",80,"Topology","Scientist"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Physicist"
"François Arago",1780,"1853",1,"FRA",73,"Physics","Politician"
"James Hopwood Jeans",1870,"1946",1,"GBR",76,"Physics","Writer"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"Physics","Writer"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"General","Inventor"
"Charles Babbage",1790,"1871",1,"BLZ",81,"Applied Mathematics","Economist"
"Marian Rejewski",1900,"1980",1,"POL",80,"Computer Science","Inventor"
"Raoul Bott",1920,"2005",1,"HUN",85,"Topology","Teacher"
"Hans Hahn (mathematician)",1870,"1934",1,"AUT",64,"Topology","Teacher"
"L. E. J. Brouwer",1880,"1966",1,"NLD",86,"Logic","Teacher"
"Antoine Augustin Cournot",1800,"1877",0,"AUT",77,"General","Teacher"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Combinatorics","Musician"
"Corrado Gini",1880,"1965",0,"ITA",85,"Statistics","Researcher"
"Peter Gavin Hall",1950,"2016",1,"AUS",66,"Statistics","Researcher"
"Gilles de Roberval",1600,"1675",0,"FRA",75,"Physics","Physicist"
"Hermann Weyl",1880,"1955",1,"DEU",75,"Combinatorics","Teacher"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"Physics","Musician"
"Aleksei Pogorelov",1910,"2002",1,"RUS",92,"Analysis","Politician"
"Andrey Kolmogorov",1900,"1987",1,"RUS",87,"Topology","Teacher"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Physicist"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Anthropologist"
"Joseph-Louis Lagrange",1730,"1813",1,"BLR",83,"Combinatorics","Politician"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Cryptographer"
"Valentin Turchin",1930,"2010",0,"BLR",80,"Computer Science","Researcher"
"Jacob Bernoulli",1650,"1705",0,"BEL",55,"Combinatorics","Teacher"
"Anders Johan Lexell",1740,"1784",0,"FIN",44,"Geometry","Teacher"
"Maurice René Fréchet",1870,"1973",1,"FRA",103,"Analysis","Teacher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Scientist"
"Karl Weierstrass",1810,"1897",1,"DEU",87,"Analysis","Teacher"
"Douglas Hartree",1890,"1958",1,"AUS",68,"Analysis","Computer Scientist"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Biologist"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Politician"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"Physics","Writer"
"Gaspard-Gustave Coriolis",1790,"1843",0,"CAN",53,"Physics","Engineer"
"Norbert Wiener",1890,"1964",1,"BOL",74,"Computer Science","Teacher"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Physicist"
"Daniel Bernoulli",1700,"1782",1,"NLD",82,"Probability","Economist"
"Alonzo Church",1900,"1995",0,"ARG",95,"Computer Science","Computer Scientist"
"Oliver Heaviside",1850,"1925",1,"BLZ",75,"Algebra","None"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"Physics","Scientist"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"General","Teacher"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"Physics","Engineer"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Researcher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Probability","Philosopher"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"None","Physicist"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Biologist"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Computer Science","Teacher"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Writer"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Inventor"
"François Arago",1780,"1853",1,"FRA",73,"Physics","Scientist"
"James Hopwood Jeans",1870,"1946",1,"GBR",76,"Physics","Teacher"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"Physics","Architect"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"General","Photographer"
"Charles Babbage",1790,"1871",1,"BLZ",81,"Applied Mathematics","Philosopher"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Combinatorics","Teacher"
"Hermann Weyl",1880,"1955",1,"DEU",75,"Combinatorics","Psychologist"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"Physics","Inventor"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Engineer"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Biologist"
"Joseph-Louis Lagrange",1730,"1813",1,"BLR",83,"Combinatorics","Teacher"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Researcher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Researcher"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Philosopher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Writer"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"Physics","Teacher"
"Norbert Wiener",1890,"1964",1,"BOL",74,"Computer Science","Psychologist"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Engineer"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"Physics","Teacher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Probability","Teacher"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"None","Physicist"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Philosopher"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Computer Science","Computer Scientist"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Writer"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Astronomer"
"François Arago",1780,"1853",1,"FRA",73,"Physics","Teacher"
"Baha<U+02BE> al-din al-<U+02BF>Amili",1540,"1622",0,"LBN",82,"Physics","Astronomer"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"General","Teacher"
"Charles Babbage",1790,"1871",1,"BLZ",81,"Applied Mathematics","Teacher"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Combinatorics","Writer"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"Physics","Musician"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Inventor"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Biologist"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Philosopher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Writer"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Teacher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Writer"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"Physics","Writer"
"Norbert Wiener",1890,"1964",1,"BOL",74,"Computer Science","Computer Scientist"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Philosopher"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"Physics","Physicist"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Probability","Physicist"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"None","Teacher"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Politician"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Musician"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Physicist"
"James Clerk Maxwell",1830,"1879",1,"GBR",49,"General","Physicist"
"Leonhard Euler",1700,"1783",0,"BEL",83,"Combinatorics","Teacher"
"Christiaan Huygens",1620,"1695",0,"NLD",75,"Physics","Physicist"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Economist"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Writer"
"Alan Turing",1910,"1954",1,"GBR",44,"Computer Science","Computer Scientist"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Biologist"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Teacher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Writer"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Researcher"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Philosopher"
"Jean le Rond dAlembert",1710,"1783",1,"CAN",73,"Physics","Linguist"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Teacher"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Physicist"
"Alfred Russel Wallace",1820,"1913",1,"CAN",93,"Applied Mathematics","Biologist"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Biologist"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Combinatorics","Philosopher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Historian"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Analysis","Teacher"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Philosopher"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Scientist"
"John von Neumann",1900,"1957",1,"HUN",57,"Algebra","Teacher"
"Georges-Louis Leclerc, Comte de Buffon",1700,"1788",1,"FRA",88,"Physics","Philosopher"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Applied Mathematics","Writer"
"Galileo Galilei",1560,"1642",0,"COL",82,"Physics","Physicist"
"Nikolai Sergeevich Bakhvalov",1930,"2005",1,"RUS",75,"Analysis","Researcher"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"Applied Mathematics","Theologist"
"D. D. Morduhai-Boltovskoi",1870,"1952",0,"KAZ",82,"Geometry","Researcher"
"Anatoly Karatsuba",1930,"2008",1,"RUS",78,"Physics","Researcher"
"Jarl Waldemar Lindeberg",1870,"1932",0,"FIN",62,"Statistics","Researcher"
"Felix Berezin",1930,"1980",0,"RUS",50,"Geometry","Researcher"
"Sergey Nikolsky",1900,"2012",1,"RUS",112,"Analysis","Researcher"
"Yuri Linnik",1910,"1972",1,"UKR",62,"Probability","Researcher"
"Victor Lidskii",1920,"2008",1,"UKR",88,"Analysis","Researcher"
"Viktor Bunyakovsky",1800,"1889",0,"AFG",89,"Probability","Researcher"
"Andrei Bolibrukh",1950,"2003",0,"RUS",53,"Topology","Researcher"
"Arthur Milgram",1910,"1961",0,"BRA",51,"Geometry","Researcher"
"Sergey Stechkin",1920,"1995",0,"RUS",75,"Combinatorics","Researcher"
"Arthur Geoffrey Walker",1900,"2001",1,"CAN",101,"Physics","Researcher"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"Physics","Astronomer"
"Julian Sochocki",1840,"1927",0,"JAM",87,"None","Researcher"
